name,calories,protein_g,carbs_g,fat_g
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",50.0,3.36,4.9,1.9
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",328.0,13.3,3.37,28.7
"Sausage, Italian, pork, mild, cooked, pan-fried",322.0,18.2,2.15,26.2
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",346.0,19.3,2.63,28.1
"Milk, whole, 3.25% milkfat, with added vitamin D",60.0,3.27,4.63,3.2
"Sausage, turkey, breakfast links, mild, raw",169.0,16.7,0.93,10.4
"Sugars, granulated",385.0,0.0,99.6,0.32
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",220.0,27.1,0.0,11.6
"Ham, sliced, restaurant",121.0,19.6,2.36,3.68
"Cheese, American, restaurant",375.0,17.5,6.35,31.1
"Broccoli, raw",31.0,2.57,6.27,0.34
"Strawberries, raw",31.0,0.64,7.63,0.22
"Ketchup, restaurant",117.0,1.11,26.8,0.55
"Eggs, Grade A, Large, egg white",55.0,10.7,2.36,0.0
"Eggs, Grade A, Large, egg yolk",334.0,16.2,1.02,28.8
"Eggs, Grade A, Large, egg whole",148.0,12.4,0.96,9.96
"Pork, cured, bacon, cooked, restaurant",500.0,40.9,2.1,36.5
"Flour, wheat, all-purpose, enriched, bleached",366.0,10.9,77.3,1.48
"Flour, wheat, all-purpose, enriched, unbleached",358.0,13.1,73.2,1.48
"Flour, wheat, all-purpose, unenriched, unbleached",362.0,12.0,74.6,1.7
"Flour, whole wheat, unenriched",370.0,15.1,71.2,2.73
"Flour, bread, white, enriched, unbleached",363.0,14.3,72.8,1.65
"Flour, rice, white, unenriched",359.0,6.94,79.8,1.3
"Flour, corn, yellow, fine meal, enriched",364.0,6.2,80.8,1.74
"Onions, red, raw",44.0,0.94,9.93,0.1
"Onions, yellow, raw",38.0,0.83,8.61,0.05
"Bananas, overripe, raw",85.0,0.73,20.1,0.22
"Bananas, ripe and slightly ripe, raw",97.0,0.74,23.0,0.29
"Garlic, raw",143.0,6.62,28.2,0.38
"Flour, soy, defatted",366.0,51.1,32.9,3.33
"Flour, soy, full-fat",452.0,38.6,27.9,20.7
"Flour, rice, brown",365.25,7.19,75.5,3.85
"Flour, rice, glutinous",358.0,6.69,80.1,1.16
"Flour, pastry, unenriched, unbleached",358.0,8.75,77.2,1.64
"Onions, white, raw",35.0,0.89,7.68,0.13
"Bananas, overripe, raw",85.0,0.73,20.1,0.22
"Bananas, ripe and slightly ripe, raw",97.0,0.74,23.0,0.29
"Apples, red delicious, with skin, raw",62.0,0.19,14.8,0.21
"Apples, honeycrisp, with skin, raw",60.0,0.1,14.7,0.1
"Apples, granny smith, with skin, raw",59.0,0.27,14.2,0.14
"Apples, gala, with skin, raw",61.0,0.13,14.8,0.15
"Apples, fuji, with skin, raw",65.0,0.15,15.7,0.16
"Soy milk, unsweetened, plain, shelf stable",38.485,3.546875,1.293125,2.125
"Almond milk, unsweetened, plain, shelf stable",14.5562,0.5546875,0.3371125,1.221
"Apples, red delicious, with skin, raw",61.789300000000004,0.1875,14.7817,0.2125
"Apples, fuji, with skin, raw",64.6609,0.1484375,15.6511625,0.1625
"Apples, gala, with skin, raw",60.9536,0.1328125,14.7680875,0.15
"Apples, granny smith, with skin, raw",58.8719,0.265625,14.142975,0.1375
"Apples, honeycrisp, with skin, raw",60.034,0.1015625,14.6819375,0.1
"Mushroom, lion's mane",42.6655,2.5,7.5897,0.2563
"Mushroom, oyster",41.0475,2.89875,6.94125,0.1875
"Mushrooms, shiitake",44.095,2.414375,8.170625,0.195
"Mushrooms, white button",31.2172,2.890625,4.079375,0.3708
"Spinach, baby",26.602000000000004,2.851875,2.406325,0.6188
"Spinach, mature",27.630000000000003,2.90625,2.64135,0.6044
"Tomato, roma",21.9574,0.695625,3.837475,0.425
"Mushroom, lion's mane",42.6655,2.5,7.5897,0.2563
"Mushroom, oyster",41.0475,2.89875,6.94125,0.1875
"Mushrooms, shiitake",44.095,2.414375,8.170625,0.195
"Mushrooms, white button",31.2172,2.890625,4.079375,0.3708
"Soy milk, unsweetened, plain, shelf stable",38.485,3.546875,1.293125,2.125
"Almond milk, unsweetened, plain, shelf stable",14.5562,0.5546875,0.3371125,1.221
"Spinach, baby",26.602000000000004,2.851875,2.406325,0.6188
"Spinach, mature",27.630000000000003,2.90625,2.64135,0.6044
"Tomato, roma",21.9574,0.695625,3.837475,0.425
"Flour, 00",357.06480000000005,11.4,74.4462,1.52
"Flour, spelt, whole grain",363.679,14.475,70.723,2.543
"Flour, semolina, coarse and semi-coarse",356.5918,11.73125,73.82345,1.597
"Flour, semolina, fine",357.80999999999995,13.33125,71.98575,1.838
"Apple juice, with added vitamin C, from concentrate, shelf stable",48.3763,0.0859375,11.3639625,0.2863
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",47.224999999999994,0.734375,10.340625,0.325
"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",66.1099,0.2578125,15.6227875,0.2875
"Grape juice, white, with added vitamin C, from concentrate, shelf stable",66.135,0.09375,15.84375,0.265
"Cranberry juice, not fortified, from concentrate, shelf stable",32.0925,0.0,7.26375,0.3375
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",41.092099999999995,0.5703125,9.1021875,0.2669
"Tomato juice, with added ingredients, from concentrate, shelf stable",23.307499999999997,0.859375,4.320625,0.2875
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",46.506299999999996,0.8125,10.0124,0.3563
"Mushroom, portabella",32.4385,2.75,4.6583,0.3117
"Mushroom, king oyster",46.3951,2.40625,8.50065,0.3075
"Mushroom, enoki",44.438199999999995,2.416875,8.141425,0.245
"Mushroom, crimini",30.2035,3.09375,4.01455,0.1967
"Mushroom, maitake",37.615,2.203125,6.604375,0.265
"Mushroom, beech",39.8018,2.18,6.7593,0.4494
"Mushroom, pioppini",39.2148,3.5,5.7637,0.24
"Soy milk, sweetened, plain, refrigerated",40.705,2.776875,2.996125,1.957
"Almond milk, unsweetened, plain, refrigerated",19.33,0.65625,0.67075,1.558
"Oat milk, unsweetened, plain, refrigerated",48.3298,0.796875,5.100325,2.749
"Carrots, mature, raw",47.9906,0.94125,10.26755,0.3506
"Carrots, baby, raw",40.772299999999994,0.805,9.0787,0.1375
"Peppers, bell, green, raw",22.929100000000002,0.715,4.7781,0.1063
"Peppers, bell, yellow, raw",30.7743,0.819375,6.601725,0.1211
"Peppers, bell, red, raw",31.3256,0.895625,6.653175,0.1256
"Peppers, bell, orange, raw",31.7404,0.881875,6.703125,0.1556
"Buttermilk, low fat",42.835,3.464978,4.811522,1.081
"Yogurt, plain, whole milk",77.95240000000001,3.824172,5.574928,4.484
"Yogurt, Greek, plain, whole milk",93.67759999999998,8.77888,4.75402,4.394
"Cheese, parmesan, grated, refrigerated",403.384,30.13912,4.33188,29.5
